"","X","republican","democrat","place_lat","place_lon"
"525",8632,1,0,44.8244695,-93.301344
"526",8636,0,1,44.84716,-122.8700295
"527",8653,1,0,33.55286,-112.1246765
"528",8677,1,0,32.70185,-97.1356375
"529",8702,0,1,47.61482,-122.3306025
"530",8706,1,0,32.6782075,-83.1738665
"531",8710,0,1,42.74672,-84.4816265
"532",8711,0,1,42.74672,-84.4816265
"533",8713,1,0,35.1704985,-79.861034
"534",8721,0,1,42.39732,-83.3733495
"535",8728,0,1,33.7671945,-84.433106
"536",8789,1,0,44.9415155,-93.1056485
"537",8813,1,0,33.80917,-118.1567105
"538",8817,1,0,33.80917,-118.1567105
"539",8822,0,1,30.93734,-91.4010085
"540",8823,0,1,42.27576,-71.812438
"541",8827,0,1,34.02079,-118.4119065
"542",8899,1,0,29.982601,-90.011008
"543",8922,1,0,37.3272785,-120.542429
"544",8986,1,0,30.32335,-97.754724
"545",9012,1,0,32.31566,-95.31704
"546",9039,1,0,35.83052,-85.9785995
"547",9040,1,0,35.8305215,-85.9785995
"548",9047,1,0,38.498196,-98.319925
"549",9049,1,0,38.498196,-98.319925
"550",9072,1,0,41.40885,-82.362201
"551",9096,0,1,31.16889,-100.0768885
"552",9099,0,1,32.81986,-96.7617535
"553",9100,0,1,26.11474,-97.168476
"554",9153,0,1,42.95641,-85.6411415
"555",9196,0,1,37.7706565,-122.4359785
"556",9238,1,0,28.69474,-81.267838
"557",9286,1,0,39.99468,-82.985772
"558",9293,0,1,35.1705,-79.861034
"559",9304,0,1,47.39231,-122.2180755
"560",9336,1,0,34.12167,-117.5621525
"561",9395,1,0,33.2025,-97.1147705
"562",9403,0,1,36.090397,-79.8573635
"563",9440,0,1,33.13874,-117.1668165
"564",9478,0,1,42.636248,-71.326858
"565",9488,1,0,35.84742,-86.40961
"566",9503,1,1,42.74662,-75.770041
"567",9521,1,0,41.8335845,-87.732013
"568",9522,1,0,41.8335845,-87.732013
"569",9563,1,0,32.77494,-96.6021425
"570",9572,0,1,38.96378,-76.7466385
"571",9647,1,0,39.523531,-104.7608605
"572",9654,1,0,39.26967,-76.8579695
"573",9676,1,0,40.8204045,-73.9874205
"574",9677,1,0,40.6708795,-73.8311875
"575",9680,1,0,40.6708795,-73.8311875
"576",9698,1,0,39.13704,-84.5398125
"577",9714,0,1,41.51401,-81.5665045
"578",9715,1,0,41.514008,-81.5665045
"579",9723,1,0,31.31064,-89.338039
"580",9739,1,0,38.00338,-79.420865
"581",9740,1,0,37.9778,-121.211991
"582",9781,1,1,42.86527,-76.9929005
"583",9784,0,1,25.8762175,-80.3476035
"584",9792,1,0,29.417501,-98.5406515
"585",9812,0,1,36.232915,-115.223125
"586",9833,1,0,36.85992,-120.4601825
"587",9857,1,1,42.9072065,-78.748399
"588",9861,1,0,40.78071,-73.9685415
"589",9879,1,0,26.270261,-80.2497725
"590",9897,1,0,32.6782075,-83.1738665
"591",9948,1,0,37.294548,-80.054487
"592",9978,0,1,39.284713,-76.620482
"593",10007,1,0,34.02079,-118.4119065
"594",10009,1,0,41.74556,-87.9256775
"595",10044,1,0,29.8385,-95.4464865
"596",10046,0,1,41.18567,-73.1991185
"597",10083,0,1,39.7393,-89.2665075
"598",10084,0,1,33.9793435,-117.5800355
"599",10087,1,0,38.84816,-76.9212315
"600",10106,0,1,39.32038,-82.0964045
"601",10112,1,0,41.275721,-96.053431
"602",10115,0,1,41.50075,-72.757385
"603",10127,1,0,32.67821,-83.1738665
"604",10144,0,1,28.50168,-81.3677725
"605",10151,1,0,40.7180015,-74.066663
"606",10225,0,1,30.206079,-92.0611765
"607",10245,1,0,39.499762,-111.547029
"608",10275,0,1,28.78418,-81.2831215
"609",10282,1,0,30.4591,-91.0907995
"610",10286,0,1,34.02079,-118.4119065
"611",10295,1,0,27.532077,-99.454676
"612",10314,1,0,35.98247,-83.9638415
"613",10381,1,0,32.6782075,-83.1738665
"614",10385,1,0,37.81933,-96.864314
"615",10388,1,0,38.498196,-98.319925
"616",10390,1,0,37.81933,-96.864314
"617",10396,1,0,37.819333,-96.864314
"618",10401,1,0,32.81986,-96.7617535
"619",10417,1,0,32.13373,-111.0518615
"620",10418,1,0,32.18939,-110.9155735
"621",10419,1,0,34.18196,-119.165389
"622",10422,1,0,41.519556,-88.1425115
"623",10425,1,0,38.84816,-76.9212315
"624",10439,0,1,33.73999,-117.8874385
"625",10448,1,1,36.00626,-115.038337
"626",10509,0,1,33.5705265,-101.897173
"627",10534,0,1,42.43597,-79.3287885
"628",10538,0,1,40.78071,-73.9685415
"629",10544,1,0,42.1130625,-72.5455845
"630",10553,1,0,40.78071,-73.9685415
"631",10559,0,1,42.206131,-83.204709
"632",10582,1,0,38.9201425,-80.1818345
"633",10595,1,0,37.69681,-97.1354525
"634",10607,0,1,34.518184,-82.729516
"635",10609,1,0,32.6782075,-83.1738665
"636",10611,1,0,32.6782075,-83.1738665
"637",10613,0,1,33.9563835,-83.3997795
"638",10623,1,0,38.92014,-80.1818345
"639",10634,0,1,33.98733,-117.6732545
